	0
847	ENSG00000279716
848	ENSG00000135902
849	ENSG00000089220
850	ENSG00000165175
851	ENSG00000249465
852	ENSG00000160256
853	ENSG00000185885
854	ENSG00000279965
855	ENSG00000272379
856	ENSG00000246100
857	ENSG00000114646
858	ENSG00000259408
859	ENSG00000185567
860	ENSG00000180644
861	ENSG00000105793
862	ENSG00000237840
863	ENSG00000124535
864	ENSG00000157601
865	ENSG00000198468
866	ENSG00000166928
867	ENSG00000225259
868	ENSG00000138613
869	ENSG00000260482
870	ENSG00000281128
871	ENSG00000168386
872	ENSG00000176945
873	ENSG00000179253
874	ENSG00000243554
875	ENSG00000229816
876	ENSG00000252481
877	ENSG00000100056
878	ENSG00000226091
879	ENSG00000174446
880	ENSG00000239608
881	ENSG00000115318
882	ENSG00000257433
883	ENSG00000155893
884	ENSG00000171916
885	ENSG00000267740
886	ENSG00000128298
887	ENSG00000196453
888	ENSG00000244270
889	ENSG00000168913
890	ENSG00000285755
891	ENSG00000136628
892	ENSG00000031691
893	ENSG00000245059
894	ENSG00000224707
895	ENSG00000250317
896	ENSG00000182534
897	ENSG00000274292
898	ENSG00000188372
899	ENSG00000260064
900	ENSG00000149657
901	ENSG00000113615
902	ENSG00000137960
903	ENSG00000274211
904	ENSG00000224415
905	ENSG00000197568
906	ENSG00000133619
907	ENSG00000196932
908	ENSG00000152147
909	ENSG00000102743
910	ENSG00000196741
911	ENSG00000211445
912	ENSG00000167117
913	ENSG00000137713
914	ENSG00000143303
915	ENSG00000001561
916	ENSG00000230572
917	ENSG00000201428
918	ENSG00000167286
919	ENSG00000265055
920	ENSG00000235651
921	ENSG00000103888
922	ENSG00000274180
923	ENSG00000188060
924	ENSG00000204978
925	ENSG00000179636
926	ENSG00000116857
927	ENSG00000255326
928	ENSG00000150540
929	ENSG00000100344
930	ENSG00000279373
931	ENSG00000135314
932	ENSG00000130037
933	ENSG00000160633
934	ENSG00000111291
935	ENSG00000243646
936	ENSG00000256508
937	ENSG00000267452
938	ENSG00000180221
939	ENSG00000226383
940	ENSG00000260790
941	ENSG00000162543
942	ENSG00000198909
943	ENSG00000107317
944	ENSG00000285330
945	ENSG00000102034
946	ENSG00000188486
947	ENSG00000179141
948	ENSG00000261628
949	ENSG00000183378
950	ENSG00000260401
951	ENSG00000146757
952	ENSG00000213735
953	ENSG00000105963
954	ENSG00000232593
955	ENSG00000276161
956	ENSG00000242318
957	ENSG00000100433
958	ENSG00000236499
959	ENSG00000269469
960	ENSG00000232871
961	ENSG00000229191
962	ENSG00000279795
963	ENSG00000282785
964	ENSG00000259969
965	ENSG00000114554
966	ENSG00000007968
967	ENSG00000267325
968	ENSG00000085871
969	ENSG00000011600
970	ENSG00000281641
971	ENSG00000211749
972	ENSG00000285938
973	ENSG00000157168
974	ENSG00000198301
975	ENSG00000136636
976	ENSG00000127990
977	ENSG00000074054
978	ENSG00000187609
979	ENSG00000261253
980	ENSG00000214988
981	ENSG00000055163
982	ENSG00000127472
983	ENSG00000229808
984	ENSG00000049245
985	ENSG00000272410
986	ENSG00000151465
987	ENSG00000135018
988	ENSG00000104142
989	ENSG00000082126
990	ENSG00000110025
991	ENSG00000115306
992	ENSG00000005381
993	ENSG00000169220
994	ENSG00000163466
995	ENSG00000264596
996	ENSG00000136141
997	ENSG00000103111
998	ENSG00000122026
999	ENSG00000168398
1000	ENSG00000204370
1001	ENSG00000176728
1002	ENSG00000118513
1003	ENSG00000164342
1004	ENSG00000181991
1005	ENSG00000226469
1006	ENSG00000104635
1007	ENSG00000115993
1008	ENSG00000227640
1009	ENSG00000253250
1010	ENSG00000110921
1011	ENSG00000259416
1012	ENSG00000233954
1013	ENSG00000175106
1014	ENSG00000125971
1015	ENSG00000088386
1016	ENSG00000236404
